"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"Symbol-Front-USB";1;"LOGO";;;
2;"U1";"SOT-363";1;"NMOS-DUAL";;;
3;"C4";"0603C";1;"CL10B473KO8NNNC";;;
4;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
5;"R12,R14";"0603R";2;"5.1k";;;
6;"R3,R6,R10,R9,R8,R5,R2,R7";"0603R";8;"10k";;;
7;"K12";"USB_A_FEMALE_CONECTOR";1;"USB_A_FEMALE_CONNECTOR";;;
8;"D2";"0402LED";1;"purple";;;
9;",,,,,,,,,,,,,,,,,,,,,,,,,";"buzzardLabel";26;"";;;
10;"K6";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
11;"K4";"U262-161N-4BVC11";1;"U262-161N-4BVC11";;;
12;"R15";"0603R";1;"1k";;;
13;"JP3,JP1";"SMD_JUMPER_3_PAD_TRACE";2;"SMD_JUMPER_3_PAD_TRACE";;;
14;"U2";"BQ24295RGET";1;"BQ24295_RGET";;;
15;"JP6,JP2";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";2;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
16;"D1";"0402LED";1;"red";;;
17;"G***,G***";"Logo-Front-easyC-5mm";2;"LOGO";;;
18;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
19;"JP5";"SMD_JUMPER";1;"SMD_JUMPER";;;
20;"C2";"1206C";1;"EMK316BB7226ML-T";;;
21;"K1,K10";"HEADER_MALE_2X1";2;"HEADER_MALE_2X1";;;
22;"K2,K3,K8,K9";"HEADER_MALE_1X1";4;"HEADER_MALE_1X1";;;
23;"H1,H2,H4,H3";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
24;"R11,R16";"0402R";2;"2k2";;;
25;"K7";"JST-2pin-SMD";1;"JST-2pin-SMD";;;
26;"K5,K11";"easyC-connector";2;"easyC-SMD";;;
27;"C7,C5,C6";"1206C";3;"CL31B106MOHNNNE";;;
28;"L1";"SRN5020TA-2R2M";1;"SRN5020TA__2R2M";;;
29;"U3";"SOT-23-5";1;"SE5218";;;
30;"REF**";"Logo-Back-SolderedFULL-20mm";1;"Logo-Front-SolderedFULL-20mm";;;
31;"R13";"0603R";1;"150R";;;
32;"G***";"Symbol-Front-Battery";1;"LOGO";;;
33;"C3";"0805C";1;"GRM21BR71C475KE51K";;;
34;"G***";"Logo-Front-Soldered-6mm";1;"LOGO";;;
35;"R4";"0603R";1;"33k";;;
36;"C8,C9";"0603C";2;"2.2uF";;;
37;"R1";"0603R";1;"5k";;;
38;"C1";"0603C";1;"CL10B105KO8NNNL";;;
39;"JP4";"SMD_JUMPER_CONNECTED";1;"SMD-JUMPER-CONNECTED";;;
40;"Ref**";"Version1.0.0.";1;"Val**";;;
41;"REF**";"Symbol-Front-I2C-ADDR-Field";1;"Symbol-Front-I2C-ADDR-Field";;;
